Date,returns,garch_vol
2015-02-03,-0.0046542982322204,0.8636721254930769
2015-02-04,-0.0037584872121479,0.838470655718414
2015-02-05,-0.0013765100457609,0.810123602386218
2015-02-06,-0.0058310324086079,0.7737005202003833
2015-02-09,-0.0156746171972853,0.7696155496661006
2015-02-10,0.0045869991503771,0.9167987804333402
2015-02-11,0.0071949086167784,0.8767559584634568
2015-02-12,0.0097064786272237,0.8587034841239407
2015-02-13,0.0107268172689105,0.8684054462125658
2015-02-16,0.0004370868354434,0.8889863333636985
2015-02-18,0.0067596684272623,0.8419177651189511
2015-02-19,0.0029497438893496,0.8245258254246871
2015-02-20,-0.0069604370777794,0.7870974515518403
2015-02-23,-0.0089433113192368,0.7926557606231361
2015-02-24,0.0008162806567537,0.8212507388600946
2015-02-25,0.000587630561085,0.7805736188114403
2015-02-26,-0.0095582544879628,0.7438831555258544
2015-02-27,0.0183421253958649,0.7898625240300499
2015-03-02,0.0126003788387932,0.9565210444639293
2015-03-03,0.0044003858673006,0.9871377321265509
2015-03-04,-0.0082147923882021,0.9391972361366534
2015-03-05,0.0016908482052135,0.9365493263220399
2015-03-09,-0.0204590481140191,0.8856372244322952
2015-03-10,-0.0051177291370559,1.098768492004549
2015-03-11,-0.0013898014383852,1.0511696445874599
2015-03-12,0.0087034220055012,0.9918972240045572
2015-03-13,-0.0147215514720097,0.9729395388508606
2015-03-16,-0.0016896819631506,1.0538616114475696
2015-03-17,0.010388094769848,0.9951101224459067
2015-03-18,-0.0042965180681336,0.9927327880327387
2015-03-19,-0.0059178429387673,0.9510807476411159
2015-03-20,-0.007410433126336,0.9253394948603861
2015-03-23,-0.0023362039252688,0.9162590931842092
2015-03-24,-0.0009301819792756,0.8726196536989055
2015-03-25,-0.0014232834235154,0.8288703339188972
2015-03-26,-0.0223620971083219,0.7907045435688566
2015-03-27,-8.990891811211022e-05,1.0794763993563485
2015-03-30,0.017928732765285,1.0155741578264208
2015-03-31,-0.0001530685679444,1.1174118323569628
2015-04-01,0.0111553075287278,1.050266251011917
2015-04-06,0.0085411337249402,1.0486701291514255
2015-04-07,4.6121183134830896e-05,1.021365568540662
2015-04-08,0.0062275331572998,0.9624734610855971
2015-04-09,0.0073058701712128,0.9271941700711985
2015-04-10,0.0002334809071557,0.9039451391685561
2015-04-13,0.0060916874846368,0.8555845749502866
2015-04-16,-0.0145150465251854,0.8313779208495282
2015-04-17,-0.0116332322327412,0.9403313637602999
2015-04-20,-0.0185181166395568,0.9801360228617729
2015-04-21,-0.0083621357545242,1.1271901326824911
2015-04-22,0.0061818253391529,1.1016416299810017
2015-04-23,-0.0037319262025762,1.0515442278303533
2015-04-24,-0.0111414361987288,1.000886529846085
2015-04-27,-0.0110722021738192,1.0238236200172766
2015-04-28,0.0087033783611285,1.0422316256835782
2015-04-29,-0.0055490174921902,1.0171098197943051
2015-04-30,-0.0070944957684806,0.9810617188370278
2015-05-04,0.0182220379751438,0.9618085490729089
2015-05-05,-0.0008585577695799,1.0810990686127895
2015-05-06,-0.0277453653883998,1.0180639794850328
2015-05-07,-0.0049151341398104,1.3527764969728702
