Date,returns_scaled,VaR_95,VaR_99
2015-02-03,-0.46542982322204,-1.384505808418477,-1.9718028537537693
2015-02-04,-0.37584872121479,-1.342923383290283,-1.9130834291788046
2015-02-05,-0.13765100457609,-1.2961507452921595,-1.8470347949147878
2015-02-06,-0.58310324086079,-1.2360526596855324,-1.762169013421793
2015-02-09,-1.56746171972853,-1.2293124583039658,-1.7526510320769144
2015-02-10,0.45869991503771,-1.4721647890699112,-2.0955879597645826
2015-02-11,0.71949086167784,-1.4060941328196037,-2.002288184574754
2015-02-12,0.9706478627223699,-1.3763075501594022,-1.960225919363682
2015-02-13,1.07268172689105,-1.3923157876056333,-1.9828314910301783
2015-02-16,0.04370868354434,-1.4262742514050024,-2.0307849580923176
2015-02-18,0.67596684272623,-1.3486111138011694,-1.921115194082056
2015-02-19,0.29497438893496,-1.3199144133056337,-1.880591974594421
2015-02-20,-0.69604370777794,-1.2581575964154363,-1.793383863470688
2015-02-23,-0.8943311319236801,-1.2673288063830745,-1.8063347236068072
2015-02-24,0.08162806567537,-1.314510520474056,-1.8729610228989204
2015-02-25,0.058763056108499995,-1.2473932723937764,-1.7781833331855559
2015-02-26,-0.9558254487962801,-1.1868540079725596,-1.6926945537301408
2015-02-27,1.83421253958649,-1.262719966004482,-1.7998264823449162
2015-03-02,1.26003788387932,-1.537706524720383,-2.188140834955855
2015-03-03,0.44003858673006,-1.5882240593637087,-2.2594777172097635
2015-03-04,-0.8214792388202099,-1.509122240980378,-2.1477763615533023
2015-03-05,0.16908482052135002,-1.504753189786266,-2.141606731685253
2015-03-09,-2.04590481140191,-1.420748221668187,-2.022981534282148
2015-03-10,-0.51177291370559,-1.7724148131624058,-2.519577387725499
2015-03-11,-0.13898014383852,-1.693876714924209,-2.408672073243682
2015-03-12,0.8703422005501201,-1.5960772209624192,-2.270567333285518
2015-03-13,-1.47215514720097,-1.5647970404588198,-2.226395926877405
2015-03-16,-0.16896819631506,-1.6983184602433898,-2.4149443560277373
2015-03-17,1.0388094769848,-1.6013785033906462,-2.278053386653863
2015-03-18,-0.42965180681336,-1.597455901608919,-2.2725141974711813
2015-03-19,-0.59178429387673,-1.5287300349627415,-2.1754649433587003
2015-03-20,-0.7410433126336,-1.486256967874537,-2.1154878243795996
2015-03-23,-0.23362039252688002,-1.471274305108845,-2.0943304884741076
2015-03-24,-0.09301819792756,-1.399269229958094,-1.99265059447335
2015-03-25,-0.14232834235154002,-1.3270828523210803,-1.8907146793859306
2015-03-26,-2.23620971083219,-1.2641092982435134,-1.8017883878703358
2015-03-27,-0.008990891811211021,-1.7405828602928746,-2.4746268118551917
2015-03-30,1.7928732765285,-1.6351441617684943,-2.3257345890904606
2015-03-31,-0.01530685679444,-1.8031763247438886,-2.5630163707466234
2015-04-01,1.11553075287278,-1.692386115524563,-2.4065671662126666
2015-04-06,0.85411337249402,-1.689752514454752,-2.402848202277722
2015-04-07,0.0046121183134830894,-1.6446999894469922,-2.3392285760546425
2015-04-08,0.62275331572998,-1.5475280121461352,-2.2020099656843417
2015-04-09,0.73058701712128,-1.4893171819723774,-2.1198092176207926
2015-04-10,0.02334809071557,-1.4509562809830174,-2.0656389756176354
2015-04-13,0.60916874846368,-1.3711613500228728,-1.9529588609890678
2015-04-16,-1.45150465251854,-1.3312203707566215,-1.8965573569343008
2015-04-17,-1.16332322327412,-1.5109935515593949,-2.150418878916399
2015-04-20,-1.85181166395568,-1.5766712390768252,-2.2431637346228306
2015-04-21,-0.83621357545242,-1.8193105202810103,-2.5857998105051045
2015-04-22,0.61818253391529,-1.7771554908235527,-2.526271799210634
2015-04-23,-0.37319262025762,-1.6944947772749828,-2.409544852199623
2015-04-24,-1.11414361987288,-1.6109095756009402,-2.291512415896278
2015-04-27,-1.1072202173819201,-1.6487557743834063,-2.3449558359951546
2015-04-28,0.87033783611285,-1.6791289837328038,-2.387846489197637
2015-04-29,-0.55490174921902,-1.6376780040155035,-2.329312681475631
2015-04-30,-0.70944957684806,-1.5781986374359958,-2.245320606245175
2015-05-04,1.8222037975143799,-1.5464309073251994,-2.2004607206947777
2015-05-05,-0.08585577695799,-1.743260264566003,-2.4784076312227
2015-05-06,-2.77453653883998,-1.639252367505204,-2.3315358735550267
2015-05-07,-0.49151341398104,-2.191528021360136,-3.1114160393016874
2015-05-08,1.65185427140141,-2.0705214428186767,-2.940540082937082
2015-05-11,1.61960341674642,-2.121012641018603,-3.011839774940614
2015-05-12,-2.41073419925435,-2.1564263257608243,-3.061848190364478
2015-05-13,1.32623072083406,-2.431420511065914,-3.4501733126437872
2015-05-14,-0.13669794296784998,-2.3698485897280657,-3.3632262964515527
2015-05-15,0.46279521918878,-2.2141490092244305,-3.143359616103995
2015-05-18,1.33809139137836,-2.079273247544723,-2.952898692035075
2015-05-19,-0.09558345015271,-2.064429429745971,-2.9319374220525947
2015-05-20,0.68616566932103,-1.93301725402724,-2.746367501189174
2015-05-21,-0.0267153481263,-1.8414289693245933,-2.61703374157877
2015-05-22,0.44964894818342005,-1.7275192287344787,-2.4561793806242447
2015-05-25,-1.05413228961067,-1.635726621268156,-2.3265570925051344
2015-05-26,-0.36985237912854,-1.657164457951491,-2.356829916427662
2015-05-27,-0.056975106091269996,-1.5769779471046566,-2.2435968435348594
2015-05-28,-0.18734224796336,-1.4870766737442689,-2.116645348425948
2015-05-29,1.36876467831972,-1.410771194622906,-2.0088927627575996
2015-06-01,-0.002964359368572991,-1.5103890120513015,-2.149565195853455
2015-06-02,-2.36306089312696,-1.4254497067569332,-2.0296206011044378
2015-06-03,-1.23814043972364,-1.893408725709734,-2.6904354581711205
2015-06-04,-0.054718601030220006,-1.9134118908700148,-2.718682352003517
2015-06-05,-0.19636033769903,-1.7938570821109958,-2.549856470543811
2015-06-08,-0.8732148739867499,-1.689558906792008,-2.4025748047903317
2015-06-09,-0.27074902267056,-1.6697453039131849,-2.3745955958765994
2015-06-10,1.26404408480797,-1.5810099254821424,-2.249290485728521
2015-06-11,-1.97771607529252,-1.6252178829632757,-2.3117174802321823
2015-06-12,0.22008448289133,-1.8956527863631427,-2.6936043438210855
2015-06-15,0.38757800540692,-1.7781363704114115,-2.5276569200831864
2015-06-16,0.41590853857635,-1.6777602890205878,-2.385913726361599
2015-06-17,0.5483675969067,-1.5884099239279872,-2.2597401805035626
2015-06-18,1.0211514727058901,-1.51830053092826,-2.1607372194797057
2015-06-19,0.61404434830307,-1.522912678445793,-2.1672501308226457
2015-06-22,1.54604393327622,-1.4664266764203364,-2.087485049174577
2015-06-23,0.34001576033196,-1.601720929224025,-2.2785369334367553
2015-06-24,-0.24727884395158,-1.5150519908959386,-2.1561498871916394
2015-06-25,0.44335324134881,-1.4396434993058402,-2.0496639566431973
2015-06-26,-0.20144580738723,-1.375660788689426,-1.959312613772746
2015-06-29,-0.7509148581665199,-1.3111297318536743,-1.8681869395743813
