Date,volatility,lstm_pred
2015-02-03,0.0114849957333982,
2015-02-04,0.0115214474486579,
2015-02-05,0.0088864340954891,
2015-02-06,0.0090036743133191,
2015-02-09,0.0093757402981064,
2015-02-10,0.0093470654195733,
2015-02-11,0.0094052692542104,
2015-02-12,0.0094997887703155,
2015-02-13,0.0095990860130249,
2015-02-16,0.0080456139284176,
2015-02-18,0.0081197631825466,
2015-02-19,0.0081051595837249,
2015-02-20,0.0075580313386887,
2015-02-23,0.0078061576092367,
2015-02-24,0.0077668722560149,
2015-02-25,0.0075260905494425,
2015-02-26,0.0074973447210643,
2015-02-27,0.0086288279741966,
2015-03-02,0.009035164224882,
2015-03-03,0.0082765805881687,
2015-03-04,0.0085070145145506,
2015-03-05,0.0084205770828584,
2015-03-09,0.0095965215263403,
2015-03-10,0.009661370733163,
2015-03-11,0.0095755314746904,
2015-03-12,0.009014344311513,
2015-03-13,0.0096337118298372,
2015-03-16,0.009517297406526,
2015-03-17,0.0095530372382094,
2015-03-18,0.0092730436000087,
2015-03-19,0.009339209422774,
2015-03-20,0.0092656485467022,
2015-03-23,0.0092066656549061,
2015-03-24,0.0091340496033697,
2015-03-25,0.0089775507645291,
2015-03-26,0.010070972045163,
2015-03-27,0.01006220957628,
2015-03-30,0.0108383779518802,
2015-03-31,0.0098929778582126,
2015-04-01,0.0097912638226141,
2015-04-06,0.0099669649230598,
2015-04-07,0.0098642191619936,
2015-04-08,0.0099847231910947,
2015-04-09,0.0091074329750374,
2015-04-10,0.0090281610207457,
2015-04-13,0.0091024760178802,
2015-04-16,0.0094873046266098,
2015-04-17,0.0092754099771656,
2015-04-20,0.0100982382734133,
2015-04-21,0.0098642444222829,
2015-04-22,0.0100023190564679,
2015-04-23,0.0099645360139906,
2015-04-24,0.0101107167317956,
2015-04-27,0.0103243353904756,
2015-04-28,0.0105811253224902,
2015-04-29,0.0106187121502992,
2015-04-30,0.0096041249336205,
2015-05-04,0.0104755997658299,
2015-05-05,0.009631265461857,
2015-05-06,0.0112614486876011,
2015-05-07,0.0108422884651,
2015-05-08,0.0113936234020067,
2015-05-11,0.0121072491685642,
2015-05-12,0.012876881526879,
2015-05-13,0.0131846430218076,
2015-05-14,0.0131693932730586,
2015-05-15,0.0131220115847735,
2015-05-18,0.0133281353816925,
2015-05-19,0.0131388705587021,
2015-05-20,0.0126383412244191,
2015-05-21,0.0124976999251615,
2015-05-22,0.0124630348546847,
2015-05-25,0.0126565701188277,
2015-05-26,0.0124359485871333,
2015-05-27,0.0121684767098398,
2015-05-28,0.0120386398057705,
2015-05-29,0.0123088285403931,
2015-06-01,0.0121691974141915,
2015-06-02,0.0126996286205305,
2015-06-03,0.0129599375676074,
2015-06-04,0.0114327969216072,
2015-06-05,0.0113848440659317,
2015-06-08,0.0109141907325133,
2015-06-09,0.0101924341217812,
2015-06-10,0.0092782341502087,
2015-06-11,0.0097056955149199,
2015-06-12,0.0097409202563092,
2015-06-15,0.009718935341002,
2015-06-16,0.0092101539806426,
2015-06-17,0.0093490677429459,
2015-06-18,0.0095272974454252,
2015-06-19,0.0096678640696404,
2015-06-22,0.0102640919679606,
2015-06-23,0.0100372742072619,
2015-06-24,0.0100178441860251,
2015-06-25,0.0100599619418226,
2015-06-26,0.0100615750669982,
2015-06-29,0.0097143182622513,
2015-06-30,0.0098223943910596,
2015-07-01,0.0084940990817145,
2015-07-02,0.0079252576530338,
2015-07-03,0.0079313700727013,
2015-07-06,0.0078923436828101,
2015-07-07,0.0075305249586306,
2015-07-08,0.0086678044626928,
2015-07-09,0.0084052380134246,
2015-07-10,0.0069071950535685,
2015-07-13,0.0072098245073967,
2015-07-14,0.0072425815533918,
2015-07-15,0.0073409884880228,
2015-07-16,0.0074823979448484,
2015-07-17,0.0073132599610271,
2015-07-20,0.0072947817296944,
2015-07-21,0.006983834709748,
2015-07-22,0.0073822428948127,
2015-07-23,0.0074719576959603,
2015-07-24,0.007697985188685,
2015-07-27,0.0088112753655026,
2015-07-28,0.0086737663800843,
2015-07-29,0.0086300979039752,
2015-07-30,0.0084228213694727,
2015-07-31,0.0089025134220249,
2015-08-03,0.0088517878819238,
2015-08-04,0.0088303309957592,
2015-08-05,0.0089199690575808,
2015-08-06,0.0079335877560209,
2015-08-07,0.0078935311176034,
2015-08-10,0.0079726950234429,
2015-08-11,0.0077655221200063,
2015-08-12,0.0083025575144738,
2015-08-13,0.0080633414594533,
2015-08-14,0.008913896093449,
2015-08-17,0.0089621681073182,
2015-08-18,0.0089629152007141,
2015-08-19,0.0088173310962651,
2015-08-20,0.0088727268594385,
2015-08-21,0.0089824699650281,
2015-08-24,0.0157491740849179,
2015-08-25,0.0156187791067138,
2015-08-26,0.0157291480088697,
2015-08-27,0.0164526284360113,
2015-08-28,0.0164806930064457,
2015-08-31,0.0160922896463666,
2015-09-01,0.0166469590470175,
2015-09-02,0.0166716781439305,
2015-09-03,0.0169978107197475,
2015-09-04,0.0173307315920826,
2015-09-07,0.017387874441054,
2015-09-08,0.0180948993392932,
2015-09-09,0.0186902841931171,
2015-09-10,0.0185591664136006,
2015-09-11,0.0185529170604445,
2015-09-14,0.0181146739356822,
2015-09-15,0.0181171602204982,
2015-09-16,0.0183228363628654,
2015-09-18,0.0185148051514389,
2015-09-21,0.0183289988817352,
2015-09-22,0.0187309243237477,
2015-09-23,0.0132133351833424,
2015-09-24,0.0130718997179388,
2015-09-28,0.012991214828355,
2015-09-29,0.0122586946606722,
2015-09-30,0.0125431852514872,
2015-10-01,0.012517506515468,
2015-10-05,0.0121150488541152,
2015-10-06,0.0118608942535722,
2015-10-07,0.011590516410668,
2015-10-08,0.0104209378045193,
2015-10-09,0.0098300370161426,
2015-10-12,0.0095511143547337,
2015-10-13,0.0090227496513899,
2015-10-14,0.008993926330431,
2015-10-15,0.0091061323418184,
2015-10-16,0.0089798570475838,
2015-10-19,0.0088166649730693,
2015-10-20,0.0087413404589035,
2015-10-21,0.008556620080101,
2015-10-23,0.0085779303088517,
2015-10-26,0.0069874600065505,
2015-10-27,0.0070957645901901,
2015-10-28,0.007408963996006,
2015-10-29,0.0072712565265609,
2015-10-30,0.0073843927228508,
2015-11-02,0.0068728611215022,
2015-11-03,0.0068736463881743,
2015-11-04,0.0050820613030287,
2015-11-05,0.0054209084631089,
2015-11-06,0.0053428822450164,
2015-11-09,0.0053055560868728,
2015-11-10,0.0059205654403842,
2015-11-13,0.0058751989125822,
2015-11-16,0.0061275674577742,
2015-11-17,0.0062550422922392,
2015-11-18,0.0062993450423263,
2015-11-19,0.0070045137790563,
2015-11-20,0.0068968556618741,
2015-11-23,0.0069027632869557,
2015-11-24,0.0068971906488487,
2015-11-26,0.0069794366480981,
2015-11-27,0.0072867067867061,
2015-11-30,0.0072811610894724,
2015-12-01,0.0072115575793305,
2015-12-02,0.0070914942590166,
2015-12-03,0.0072092878233914,
2015-12-04,0.007490413331065,
2015-12-07,0.0074623804978005,
2015-12-08,0.0075938630827322,
2015-12-09,0.0076563353722059,
2015-12-10,0.0080415112139684,
2015-12-11,0.0081963579744001,
2015-12-14,0.0075748261309824,
2015-12-15,0.0077307622504827,
2015-12-16,0.0077629725317495,
2015-12-17,0.0081720724267794,
2015-12-18,0.0079433643212424,
2015-12-21,0.0075698171921653,
2015-12-22,0.0076728917421283,
2015-12-23,0.0080136001057768,
2015-12-24,0.0079975643876766,
2015-12-28,0.0080635252419554,
2015-12-29,0.0078942895264854,
2015-12-30,0.0079422338301852,
2015-12-31,0.0080516088492382,
2016-01-04,0.009113195555927,
2016-01-05,0.0089429679750159,
2016-01-06,0.0087298400013868,
2016-01-07,0.0099965178776049,
2016-01-08,0.0099323542303502,
2016-01-11,0.0096644060028496,
2016-01-12,0.0095132912910866,
2016-01-13,0.0094601106222201,
2016-01-14,0.009396158017566,
2016-01-15,0.0096170441000866,
2016-01-18,0.0096684644690935,
2016-01-19,0.0096235918612389,
2016-01-20,0.009991870911814,
2016-01-21,0.0095980767329448,
2016-01-22,0.0108341643361007,
2016-01-25,0.010501119544234,
2016-01-27,0.0105109015126221,
2016-01-28,0.0102224770249323,
2016-01-29,0.0112471223391398,
2016-02-01,0.011241604621426,
2016-02-02,0.0113253387413243,
2016-02-03,0.0109031006753521,
2016-02-04,0.0110519655077638,
2016-02-05,0.0114225085676701,
2016-02-08,0.0107520004415328,
2016-02-09,0.0109298905706479,
