Date,Close,High,Low,Open,Volume,returns,volatility,garch_vol,lstm_pred,garch_position,garch_strategy,lstm_position,lstm_strategy,daily_vol,vt_position,trend,vt_strategy,turnover,cost,vt_strategy_net,buy_hold,cum_garch,cum_lstm,cum_vt,cum_vt_nocost,cum_market,dd_garch,dd_lstm,dd_vt,dd_market
2023-01-11,17895.69921875,17976.349609375,17824.349609375,17924.25,259900,-0.0010305082936186,0.0083315555331802,0.9068066808513312,0.0079180374741554,0,0.0,0,0.0,0.05712345154153665,0.36,,0.0,,,,-0.0010305082936186,1.0,1.0,,1.0,0.9989694917063814,0.0,0.0,,0.0
2023-01-12,17858.19921875,17945.80078125,17761.650390625,17920.849609375,227800,-0.0020976741216788,0.0082626952525715,0.8600204852791422,0.0080999862402677,0,-0.0,0,-0.0,0.054176198249278475,0.36,,-0.000755162683804368,0.0,0.0,-0.000755162683804368,-0.0020976741216788,1.0,1.0,0.9992448373161956,0.9992448373161956,0.9968739792552822,0.0,0.0,0.0,-0.0020976741216788787
2023-01-13,17956.599609375,17999.349609375,17774.25,17867.5,256700,0.0054949708747303,0.0080064442308508,0.8210546670264864,0.0082281222566962,0,0.0,0,0.0,0.05172158242240541,0.36,,0.001978189514902908,0.0,0.0,0.001978189514902908,0.0054949708747303,1.0,1.0,1.0012215329761953,1.0012215329761953,1.0023517727370665,0.0,0.0,0.0,0.0
2023-01-16,17894.849609375,18049.650390625,17853.650390625,18033.150390625,206200,-0.0034447734977776,0.0078756308222628,0.7966659796520512,0.0082580046728253,1,-0.0,0,-0.0,0.05018523952726121,0.36,,-0.001240118459199936,0.0,0.0,-0.001240118459199936,-0.0034447734977776,1.0,1.0,0.9999798996714031,0.9999798996714031,0.9988988979148915,0.0,0.0,-0.00124011845919991,-0.003444773497777602
2023-01-17,18053.30078125,18072.05078125,17886.94921875,17922.80078125,219100,0.0088155967034695,0.0079093498962909,0.7710849161933355,0.0082082562148571,1,0.0088155967034695,0,0.0,0.04857378399906303,0.36,,0.0031736148132490197,0.0,0.0,0.0031736148132490197,0.0088155967034695,1.0088155967034695,1.0,1.0031534506939517,1.0031534506939517,1.0077047877464493,0.0,0.0,0.0,0.0
2023-01-18,18165.349609375,18183.75,18032.44921875,18074.30078125,255800,0.0061873749786786,0.0080566611007571,0.7838520674587524,0.0081309545785188,1,0.0061873749786786,0,0.0,0.04937803893237343,0.36,,0.002227454992324296,0.0,0.0,0.002227454992324296,0.0061873749786786,1.0150575170846132,1.0,1.0053879298557673,1.0053879298557673,1.0139398351360462,0.0,0.0,0.0,0.0
2023-01-19,18107.849609375,18155.19921875,18063.75,18119.80078125,237800,-0.0031703874707042,0.0077792112195858,0.7690200462299283,0.0080685559660196,1,-0.0031703874707042,0,-0.0,0.0484437094178044,0.36,,-0.0011413394894535121,0.0,0.0,-0.0011413394894535121,-0.0031703874707042,1.011839391450404,1.0,1.004240440909203,1.004240440909203,1.010725252986683,-0.003170387470704229,0.0,-0.0011413394894535637,-0.0031703874707042067
2023-01-20,18027.650390625,18145.44921875,18016.19921875,18115.599609375,237200,-0.0044388122721841,0.0077915837275942,0.7449368578719889,0.007958561182022,1,-0.0044388122721841,0,-0.0,0.04692661115178932,0.36,,-0.001597972417986276,0.0,0.0,-0.001597972417986276,-0.0044388122721841,1.0073480263421546,1.0,1.0026356923836037,1.0026356923836037,1.0062388333299193,-0.007595126988075876,0.0,-0.0027374880784160715,-0.007595126988075871
2023-01-23,18118.55078125,18162.599609375,18063.44921875,18118.44921875,202500,0.0050296063930943,0.0067389246559867,0.7324671001041329,0.0078499419614672,1,0.0050296063930943,0,0.0,0.04614109024790924,0.36,,0.0018106583015139479,0.0,0.0,0.0018106583015139479,0.0050296063930943,1.0124145904155162,1.0,1.0044511230234123,1.0044511230234123,1.0112998185990152,-0.002603721094237004,0.0,-0.0009317864324165589,-0.0026037210942371418
2023-01-24,18118.30078125,18201.25,18078.650390625,18183.94921875,216900,-1.379810823647804e-05,0.0062706837347807,0.715380299596836,0.007539324928075,1,-1.379810823647804e-05,0,-0.0,0.045064722989716866,0.36,,-4.967318965132095e-06,0.0,0.0,-4.967318965132095e-06,-1.379810823647804e-05,1.0124006210094174,1.0,1.0044461335942994,1.0044461335942994,1.0112858645746587,-0.002617483276048031,0.0,-0.0009367491229013093,-0.00261748327604803
