Date,returns,arima_pred
2015-02-03,-0.0046542982322204,0.00040371245098968725
2015-02-04,-0.0037584872121479,0.0005564221772331893
2015-02-05,-0.0013765100457609,0.0004947314225103088
2015-02-06,-0.0058310324086079,0.0004369340122868851
2015-02-09,-0.0156746171972853,0.000583272490757538
2015-02-10,0.0045869991503771,0.0008459818543419836
2015-02-11,0.0071949086167784,0.00018039132812938192
2015-02-12,0.0097064786272237,0.0002495541663676511
2015-02-13,0.0107268172689105,0.0001589475362514284
2015-02-16,0.0004370868354434,0.00014841656494577756
2015-02-18,0.0067596684272623,0.0004592286039970355
2015-02-19,0.0029497438893496,0.00020087421145748686
2015-02-20,-0.0069604370777794,0.00037228753416659145
2015-02-23,-0.0089433113192368,0.0006314425529888828
2015-02-24,0.0008162806567537,0.0006335170590463593
2015-02-25,0.000587630561085,0.0003404703618710691
2015-02-26,-0.0095582544879628,0.0004121990418773259
2015-02-27,0.0183421253958649,0.0007004882568823628
2015-03-02,0.0126003788387932,-0.00019977117065199894
2015-03-03,0.0044003858673006,0.00017166033027784963
2015-03-04,-0.0082147923882021,0.000335265336988131
2015-03-05,0.0016908482052135,0.0006772433392753228
2015-03-09,-0.0204590481140191,0.0003045712820712652
2015-03-10,-0.0051177291370559,0.0010511146693562327
2015-03-11,-0.0013898014383852,0.00042592225533297305
2015-03-12,0.0087034220055012,0.00045256431146747423
2015-03-13,-0.0147215514720097,0.00014407682134974113
2015-03-16,-0.0016896819631506,0.0009146373505473399
2015-03-17,0.010388094769848,0.0003533641716456535
2015-03-18,-0.0042965180681336,0.0001155318689658069
2015-03-19,-0.0059178429387673,0.0006084195196834662
2015-03-20,-0.007410433126336,0.0005479118794454274
2015-03-23,-0.0023362039252688,0.0006060539650483254
2015-03-24,-0.0009301819792756,0.00044105990027862226
2015-03-25,-0.0014232834235154,0.0004354340310316399
2015-03-26,-0.0223620971083219,0.00045146239313539107
2015-03-27,-8.990891811211022e-05,0.0010756487308234118
