Date,Close,High,Low,Open,Volume,returns,volatility,arima_pred
2015-02-03,8756.5498046875,8837.2998046875,8726.650390625,8823.150390625,208700,-0.0046542982322204,0.0114849957333982,0.00040371245098968725
2015-02-04,8723.7001953125,8792.849609375,8704.400390625,8789.150390625,195300,-0.0037584872121479,0.0115214474486579,0.0005564221772331893
2015-02-05,8711.7001953125,8838.4501953125,8683.650390625,8733.099609375,173600,-0.0013765100457609,0.0088864340954891,0.0004947314225103088
2015-02-06,8661.0498046875,8726.2001953125,8645.5498046875,8696.849609375,171300,-0.0058310324086079,0.0090036743133191,0.0004369340122868851
2015-02-09,8526.349609375,8605.5498046875,8516.349609375,8584.400390625,146800,-0.0156746171972853,0.0093757402981064,0.000583272490757538
2015-02-10,8565.5498046875,8646.25,8470.5,8478.099609375,196200,0.0045869991503771,0.0093470654195733,0.0008459818543419836
2015-02-11,8627.400390625,8651.9501953125,8593.650390625,8603.2998046875,161600,0.0071949086167784,0.0094052692542104,0.00018039132812938192
2015-02-12,8711.5498046875,8732.5498046875,8599.25,8676.9501953125,158800,0.0097064786272237,0.0094997887703155,0.0002495541663676511
2015-02-13,8805.5,8822.099609375,8729.650390625,8741.5,221900,0.0107268172689105,0.0095990860130249,0.0001589475362514284
2015-02-16,8809.349609375,8870.099609375,8793.400390625,8831.400390625,136400,0.0004370868354434,0.0080456139284176,0.00014841656494577756
2015-02-18,8869.099609375,8894.2998046875,8808.900390625,8811.5498046875,147600,0.0067596684272623,0.0081197631825466,0.0004592286039970355
2015-02-19,8895.2998046875,8913.4501953125,8794.4501953125,8883.0498046875,213300,0.0029497438893496,0.0081051595837249,0.00020087421145748686
2015-02-20,8833.599609375,8899.9501953125,8816.2998046875,8895.5,197600,-0.0069604370777794,0.0075580313386887,0.00037228753416659145
2015-02-23,8754.9501953125,8869.0,8736.099609375,8856.849609375,139600,-0.0089433113192368,0.0078061576092367,0.0006314425529888828
2015-02-24,8762.099609375,8800.5,8726.75,8772.900390625,149800,0.0008162806567537,0.0077668722560149,0.0006335170590463593
2015-02-25,8767.25,8840.650390625,8751.400390625,8801.900390625,135200,0.000587630561085,0.0075260905494425,0.0003404703618710691
2015-02-26,8683.849609375,8786.0498046875,8669.4501953125,8779.0,217500,-0.0095582544879628,0.0074973447210643,0.0004121990418773259
2015-02-27,8844.599609375,8856.9501953125,8717.4501953125,8729.5,249500,0.0183421253958649,0.0086288279741966,0.0007004882568823628
2015-03-02,8956.75,8972.349609375,8885.4501953125,8953.849609375,218100,0.0126003788387932,0.009035164224882,-0.00019977117065199894
2015-03-03,8996.25,9008.400390625,8925.5498046875,8962.849609375,177800,0.0044003858673006,0.0082765805881687,0.00017166033027784963
2015-03-04,8922.650390625,9119.2001953125,8893.9501953125,9109.150390625,248400,-0.0082147923882021,0.0085070145145506,0.000335265336988131
2015-03-05,8937.75,8957.5498046875,8849.349609375,8929.400390625,160100,0.0016908482052135,0.0084205770828584,0.0006772433392753228
2015-03-09,8756.75,8891.2998046875,8740.4501953125,8891.150390625,155500,-0.0204590481140191,0.0095965215263403,0.0003045712820712652
2015-03-10,8712.0498046875,8778.0,8677.349609375,8769.75,163800,-0.0051177291370559,0.009661370733163,0.0010511146693562327
2015-03-11,8699.9501953125,8755.599609375,8682.349609375,8728.75,172800,-0.0013898014383852,0.0095755314746904,0.00042592225533297305
2015-03-12,8776.0,8787.2001953125,8732.900390625,8740.650390625,173900,0.0087034220055012,0.009014344311513,0.00045256431146747423
2015-03-13,8647.75,8849.75,8631.75,8844.0498046875,179200,-0.0147215514720097,0.0096337118298372,0.00014407682134974113
2015-03-16,8633.150390625,8663.5498046875,8612.0,8656.75,163300,-0.0016896819631506,0.009517297406526,0.0009146373505473399
2015-03-17,8723.2998046875,8742.5498046875,8630.7998046875,8689.099609375,177000,0.010388094769848,0.0095530372382094,0.0003533641716456535
2015-03-18,8685.900390625,8747.25,8664.0,8742.900390625,156400,-0.0042965180681336,0.0092730436000087,0.0001155318689658069
2015-03-19,8634.650390625,8788.2001953125,8614.650390625,8749.4501953125,163500,-0.0059178429387673,0.009339209422774,0.0006084195196834662
2015-03-20,8570.900390625,8627.900390625,8553.0,8627.900390625,174600,-0.007410433126336,0.0092656485467022,0.0005479118794454274
2015-03-23,8550.900390625,8608.349609375,8540.5498046875,8591.5498046875,150700,-0.0023362039252688,0.0092066656549061,0.0006060539650483254
2015-03-24,8542.9501953125,8627.75,8535.849609375,8537.0498046875,156700,-0.0009301819792756,0.0091340496033697,0.00044105990027862226
2015-03-25,8530.7998046875,8573.75,8516.5498046875,8568.900390625,161000,-0.0014232834235154,0.0089775507645291,0.0004354340310316399
2015-03-26,8342.150390625,8499.4501953125,8325.349609375,8474.9501953125,280100,-0.0223620971083219,0.010070972045163,0.00045146239313539107
2015-03-27,8341.400390625,8413.2001953125,8269.150390625,8396.0,193000,-8.990891811211022e-05,0.01006220957628,0.0010756487308234118
2015-03-30,8492.2998046875,8492.2998046875,8380.75,8390.9501953125,134700,0.017928732765285,0.0108383779518802,0.00026975955925206605
2015-03-31,8491.0,8550.4501953125,8454.150390625,8527.599609375,167200,-0.0001530685679444,0.0098929778582126,-9.202434459163329e-05
2015-04-01,8586.25,8603.400390625,8464.75,8483.7001953125,125500,0.0111553075287278,0.0097912638226141,0.000530149299263387
2015-04-06,8659.900390625,8667.5498046875,8573.75,8615.7998046875,146900,0.0085411337249402,0.0099669649230598,5.3395028583768246e-05
2015-04-07,8660.2998046875,8693.599609375,8586.849609375,8684.4501953125,148700,4.6121183134830896e-05,0.0098642191619936,0.0002373091344498878
2015-04-08,8714.400390625,8730.5,8679.7998046875,8698.9501953125,148200,0.0062275331572998,0.0099847231910947,0.00045127075718875027
2015-04-09,8778.2998046875,8785.5,8682.4501953125,8756.2001953125,152700,0.0073058701712128,0.0091074329750374,0.0002185890339486025
2015-04-10,8780.349609375,8787.400390625,8733.599609375,8774.349609375,139000,0.0002334809071557,0.0090281610207457,0.00023777149435804458
2015-04-13,8834.0,8841.650390625,8762.099609375,8801.75,121600,0.0060916874846368,0.0091024760178802,0.0004455514549667725
