Date,Close,High,Low,Open,Volume,returns,volatility,returns_scaled,garch_vol,volatility_scaled
2015-02-03,8756.5498046875,8837.2998046875,8726.650390625,8823.150390625,208700,-0.0046542982322204,0.0114849957333982,-0.46542982322204,0.8636721254930769,1.14849957333982
2015-02-04,8723.7001953125,8792.849609375,8704.400390625,8789.150390625,195300,-0.0037584872121479,0.0115214474486579,-0.37584872121479,0.838470655718414,1.15214474486579
2015-02-05,8711.7001953125,8838.4501953125,8683.650390625,8733.099609375,173600,-0.0013765100457609,0.0088864340954891,-0.13765100457609,0.810123602386218,0.88864340954891
2015-02-06,8661.0498046875,8726.2001953125,8645.5498046875,8696.849609375,171300,-0.0058310324086079,0.0090036743133191,-0.58310324086079,0.7737005202003833,0.90036743133191
2015-02-09,8526.349609375,8605.5498046875,8516.349609375,8584.400390625,146800,-0.0156746171972853,0.0093757402981064,-1.56746171972853,0.7696155496661006,0.93757402981064
2015-02-10,8565.5498046875,8646.25,8470.5,8478.099609375,196200,0.0045869991503771,0.0093470654195733,0.45869991503771,0.9167987804333402,0.9347065419573299
2015-02-11,8627.400390625,8651.9501953125,8593.650390625,8603.2998046875,161600,0.0071949086167784,0.0094052692542104,0.71949086167784,0.8767559584634568,0.94052692542104
2015-02-12,8711.5498046875,8732.5498046875,8599.25,8676.9501953125,158800,0.0097064786272237,0.0094997887703155,0.9706478627223699,0.8587034841239407,0.9499788770315499
2015-02-13,8805.5,8822.099609375,8729.650390625,8741.5,221900,0.0107268172689105,0.0095990860130249,1.07268172689105,0.8684054462125658,0.95990860130249
2015-02-16,8809.349609375,8870.099609375,8793.400390625,8831.400390625,136400,0.0004370868354434,0.0080456139284176,0.04370868354434,0.8889863333636985,0.80456139284176
2015-02-18,8869.099609375,8894.2998046875,8808.900390625,8811.5498046875,147600,0.0067596684272623,0.0081197631825466,0.67596684272623,0.8419177651189511,0.81197631825466
2015-02-19,8895.2998046875,8913.4501953125,8794.4501953125,8883.0498046875,213300,0.0029497438893496,0.0081051595837249,0.29497438893496,0.8245258254246871,0.81051595837249
2015-02-20,8833.599609375,8899.9501953125,8816.2998046875,8895.5,197600,-0.0069604370777794,0.0075580313386887,-0.69604370777794,0.7870974515518403,0.75580313386887
2015-02-23,8754.9501953125,8869.0,8736.099609375,8856.849609375,139600,-0.0089433113192368,0.0078061576092367,-0.8943311319236801,0.7926557606231361,0.78061576092367
2015-02-24,8762.099609375,8800.5,8726.75,8772.900390625,149800,0.0008162806567537,0.0077668722560149,0.08162806567537,0.8212507388600946,0.77668722560149
2015-02-25,8767.25,8840.650390625,8751.400390625,8801.900390625,135200,0.000587630561085,0.0075260905494425,0.058763056108499995,0.7805736188114403,0.75260905494425
2015-02-26,8683.849609375,8786.0498046875,8669.4501953125,8779.0,217500,-0.0095582544879628,0.0074973447210643,-0.9558254487962801,0.7438831555258544,0.74973447210643
2015-02-27,8844.599609375,8856.9501953125,8717.4501953125,8729.5,249500,0.0183421253958649,0.0086288279741966,1.83421253958649,0.7898625240300499,0.86288279741966
2015-03-02,8956.75,8972.349609375,8885.4501953125,8953.849609375,218100,0.0126003788387932,0.009035164224882,1.26003788387932,0.9565210444639293,0.9035164224882
2015-03-03,8996.25,9008.400390625,8925.5498046875,8962.849609375,177800,0.0044003858673006,0.0082765805881687,0.44003858673006,0.9871377321265509,0.82765805881687
2015-03-04,8922.650390625,9119.2001953125,8893.9501953125,9109.150390625,248400,-0.0082147923882021,0.0085070145145506,-0.8214792388202099,0.9391972361366534,0.85070145145506
2015-03-05,8937.75,8957.5498046875,8849.349609375,8929.400390625,160100,0.0016908482052135,0.0084205770828584,0.16908482052135002,0.9365493263220399,0.8420577082858399
2015-03-09,8756.75,8891.2998046875,8740.4501953125,8891.150390625,155500,-0.0204590481140191,0.0095965215263403,-2.04590481140191,0.8856372244322952,0.9596521526340299
